Fuel_Type,Gearbox_Automatic,Gearbox_Manual,Gearbox_Semi-automatic,Mileage_km,Price,Year,Gears,Power_hp,Engine_Size_cc,Cylinders
0.0,0.0,0.0,1.0,65000.0,17.0,2018.0,6.0,179.0,2275.0,5.0
0.0,0.0,0.0,1.0,117000.0,8.999,2011.0,6.0,140.0,2275.0,5.0
0.0,0.0,1.0,0.0,11.0,23.9,2023.0,6.0,165.0,2275.0,5.0
0.0,0.0,1.0,0.0,66500.0,18.5,2018.0,6.0,245.0,2275.0,5.0
1.0,0.0,1.0,0.0,155829.0,14.0,2016.0,6.0,179.0,2143.0,4.0
1.0,0.0,0.0,1.0,8000.0,24.5,2023.0,6.0,160.0,1469.0,4.0
1.0,1.0,0.0,0.0,23800.0,23.0,2022.0,6.0,131.0,1469.0,4.0
0.0,0.0,1.0,0.0,86036.0,11.9,2020.0,6.0,120.0,1368.0,4.0
0.0,0.0,1.0,0.0,178847.0,7.95,2012.0,6.0,170.0,1368.0,4.0
1.0,1.0,0.0,0.0,141000.0,21.4,2020.0,6.0,209.0,2143.0,4.0
0.0,1.0,0.0,0.0,9895.0,25.49,2025.0,6.0,136.0,1199.0,5.0
1.0,1.0,0.0,0.0,13274.0,22.95,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,34980.0,24.99,2023.0,6.0,131.0,1598.0,4.0
0.0,1.0,0.0,0.0,121834.0,16.899,2015.0,6.0,241.0,1742.0,4.0
1.0,1.0,0.0,0.0,28632.0,23.532,2023.0,6.0,131.0,1598.0,4.0
1.0,1.0,0.0,0.0,13274.0,22.95,2025.0,6.0,136.0,1199.0,3.0
0.0,1.0,0.0,0.0,10.0,27.995,2025.0,6.0,145.0,1199.0,3.0
1.0,1.0,0.0,0.0,14856.0,25.921,2024.0,6.0,131.0,1598.0,4.0
0.0,0.0,1.0,0.0,74262.0,9.995,2015.0,6.0,105.0,1368.0,5.0
1.0,0.0,1.0,0.0,47200.0,18.899,2018.0,6.0,179.0,2143.0,4.0
1.0,1.0,0.0,0.0,10.0,25.9,2024.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,94000.0,20.9,2018.0,6.0,209.0,2143.0,5.0
0.0,0.0,1.0,0.0,185785.0,4.45,2011.0,6.0,120.0,1368.0,4.0
0.0,0.0,0.0,1.0,103040.0,21.9,2015.0,6.0,241.0,1742.0,4.0
1.0,1.0,0.0,0.0,14900.0,25.0,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,10.0,26.98,2024.0,6.0,131.0,1598.0,4.0
0.0,0.0,1.0,0.0,72947.0,14.899,2015.0,6.0,150.0,1368.0,4.0
0.0,1.0,0.0,0.0,71150.0,26.995,2019.0,6.0,201.0,1995.0,5.0
0.0,0.0,1.0,0.0,211107.0,5.945,2012.0,6.0,170.0,1368.0,4.0
1.0,1.0,0.0,0.0,76077.0,20.5,2018.0,6.0,179.0,2143.0,4.0
0.0,1.0,0.0,0.0,49.0,29.99,2025.0,6.0,145.0,1199.0,3.0
0.0,1.0,0.0,0.0,7000.0,28.595,2025.0,6.0,136.0,1199.0,3.0
0.0,0.0,1.0,0.0,69850.0,14.55,2017.0,6.0,120.0,1368.0,5.0
1.0,1.0,0.0,0.0,98151.0,15.99,2021.0,6.0,170.0,1956.0,4.0
1.0,1.0,0.0,0.0,10.0,25.9,2024.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,11476.0,26.5,2025.0,6.0,136.0,1199.0,3.0
1.0,0.0,0.0,1.0,33400.0,20.99,2023.0,6.0,131.0,1469.0,4.0
0.0,1.0,0.0,0.0,33112.0,26.95,2024.0,6.0,131.0,1469.0,4.0
1.0,0.0,1.0,0.0,110000.0,19.45,2018.0,6.0,160.0,2143.0,4.0
1.0,1.0,0.0,0.0,10.0,27.89,2025.0,6.0,145.0,1199.0,3.0
0.0,0.0,1.0,0.0,219989.0,7.95,2012.0,6.0,235.0,1742.0,4.0
1.0,1.0,0.0,0.0,10.0,27.48,2024.0,6.0,131.0,1598.0,4.0
1.0,1.0,0.0,0.0,21205.0,30.85,2023.0,6.0,179.0,1332.0,4.0
0.0,1.0,0.0,0.0,102800.0,19.9,2017.0,6.0,200.0,1995.0,4.0
1.0,1.0,0.0,0.0,23.0,29.6,2025.0,6.0,145.0,1199.0,3.0
1.0,0.0,1.0,0.0,205000.0,9.8,2012.0,6.0,170.0,2275.0,5.0
1.0,1.0,0.0,0.0,14948.0,26.3,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,5.0,27.99,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,13.0,27.89,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,30.86,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,828.0,35.99,2025.0,6.0,154.0,2275.0,5.0
0.0,0.0,1.0,0.0,178000.0,6.49,2010.0,6.0,200.0,1742.0,4.0
1.0,1.0,0.0,0.0,53020.0,23.99,2021.0,6.0,192.0,2275.0,5.0
1.0,1.0,0.0,0.0,163093.0,16.95,2017.0,6.0,179.0,2143.0,4.0
1.0,1.0,0.0,0.0,43648.0,28.945,2023.0,6.0,181.0,1469.0,4.0
1.0,1.0,0.0,0.0,10.0,26.9,2025.0,6.0,145.0,1199.0,3.0
1.0,1.0,0.0,0.0,10.0,26.99,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,29779.0,26.99,2023.0,6.0,160.0,2275.0,5.0
1.0,1.0,0.0,0.0,11431.0,25.5,2025.0,6.0,145.0,1199.0,3.0
1.0,1.0,0.0,0.0,24000.0,29.9,2023.0,6.0,160.0,2143.0,4.0
1.0,1.0,0.0,0.0,62467.0,20.95,2023.0,6.0,131.0,1598.0,5.0
1.0,1.0,0.0,0.0,15581.0,23.7,2025.0,6.0,137.0,2275.0,5.0
0.0,0.0,1.0,0.0,113383.0,7.5,2010.0,6.0,170.0,14.0,5.0
1.0,1.0,0.0,0.0,1.0,27.49,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,10.0,27.49,2025.0,6.0,145.0,1199.0,3.0
1.0,1.0,0.0,0.0,100.0,28.9,2025.0,6.0,145.0,1199.0,3.0
0.0,1.0,0.0,0.0,17690.0,23.547,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,17621.0,23.6,2025.0,6.0,137.0,2275.0,5.0
1.0,1.0,0.0,0.0,77693.0,25.428,2020.0,6.0,211.0,2275.0,5.0
1.0,0.0,1.0,0.0,54078.0,34.0,2023.0,6.0,209.0,2275.0,5.0
1.0,1.0,0.0,0.0,25441.0,27.899,2023.0,6.0,131.0,1598.0,4.0
1.0,1.0,0.0,0.0,107000.0,22.9,2020.0,6.0,190.0,2143.0,5.0
1.0,1.0,0.0,0.0,5968.0,43.7,2024.0,6.0,209.0,2143.0,4.0
1.0,1.0,0.0,0.0,20.0,27.95,2025.0,6.0,144.0,1199.0,5.0
1.0,1.0,0.0,0.0,20235.0,23.9,2024.0,6.0,137.0,2275.0,5.0
1.0,1.0,0.0,0.0,37000.0,29.9,2023.0,6.0,160.0,2143.0,4.0
1.0,1.0,0.0,0.0,18387.0,22.476,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,22907.0,22.45,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,26.95,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,38000.0,24.9,2023.0,6.0,131.0,1469.0,4.0
1.0,1.0,0.0,0.0,20.0,31.99,2024.0,6.0,131.0,1598.0,4.0
1.0,1.0,0.0,0.0,96096.0,19.75,2021.0,6.0,160.0,2275.0,5.0
1.0,1.0,0.0,0.0,134561.0,17.4,2019.0,6.0,190.0,2275.0,5.0
1.0,1.0,0.0,0.0,10.0,24.734,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,26.5,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,24900.0,30.9,2024.0,6.0,160.0,2275.0,5.0
1.0,1.0,0.0,0.0,4392.0,26.9,2025.0,6.0,145.0,1199.0,3.0
1.0,1.0,0.0,0.0,103896.0,19.95,2017.0,6.0,179.0,2143.0,4.0
1.0,0.0,0.0,1.0,10.0,25.99,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,10.0,26.7,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,1.0,27.89,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,10.0,27.9,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,113199.0,19.75,2020.0,6.0,160.0,2275.0,5.0
1.0,1.0,0.0,0.0,10.0,29.99,2025.0,6.0,136.0,1199.0,3.0
0.0,1.0,0.0,0.0,78953.0,22.995,2019.0,6.0,201.0,1995.0,4.0
0.0,1.0,0.0,0.0,100.0,29.49,2025.0,6.0,136.0,1199.0,3.0
1.0,1.0,0.0,0.0,88028.0,25.45,2021.0,6.0,190.0,2275.0,5.0
