fuel,location,price,year,subcategory,transmission
otro,lima,55000.0,2016,camioneta,secuencial
otro,lima,24900.0,2022,camioneta,secuencial
gasolina,lima,89900.0,2019,camioneta,secuencial
gasolina,lima,39900.0,2018,camioneta,secuencial
gasolina,lima,44990.0,2025,camioneta,secuencial
otro,lima,35900.0,2021,camioneta,automatica
gasolina,lima,31900.0,2017,otros,secuencial
gasolina,lima,29900.0,2022,camioneta,automatica
gasolina,lima,29900.0,2019,camioneta,secuencial
gasolina,lima,16900.0,2019,otros,automatica
otro,lima,20500.0,2021,otros,secuencial
gasolina,lima,19000.0,2023,camioneta,mecanica
gasolina,lima,34900.0,2013,camioneta,mecanica
gasolina,lima,35990.0,2023,camioneta,automatica
gasolina,lima,25900.0,2025,otros,secuencial
gasolina,lima,30900.0,2020,camioneta,secuencial
gasolina,lima,29900.0,2021,camioneta,secuencial
gasolina,lima,19900.0,2018,camioneta,automatica
otro,lima,6900.0,2012,otros,mecanica
otro,lima,36800.0,2023,camioneta,automatica
gasolina,lima,36900.0,2024,otros,secuencial
gasolina,lima,118000.0,2026,camioneta,secuencial
gasolina,lima,22290.0,2022,camioneta,automatica
gasolina,lima,16900.0,2017,camioneta,automatica
gasolina,lima,14500.0,2023,camioneta,automatica
gasolina,lima,32900.0,2011,deportivo,secuencial
gasolina,lima,17900.0,2019,camioneta,automatica
gasolina,lima,17900.0,2017,otros,secuencial
gasolina,lima,52000.0,2021,camioneta,secuencial
gasolina,lima,27900.0,2024,camioneta,secuencial
gasolina,lima,19500.0,2018,camioneta,secuencial
gasolina,lima,24490.0,2023,camioneta,automatica
gasolina,lima,32500.0,2024,camioneta,automatica
gasolina,lima,25900.0,2020,otros,secuencial
gasolina,lima,74900.0,2024,camioneta,secuencial
otro,lima,18000.0,2024,otros,mecanica
gasolina,lima,11900.0,2018,otros,mecanica
gasolina,lima,18500.0,2018,camioneta,secuencial
otro,lima,23500.0,2015,otros,secuencial
gasolina,lima,42900.0,2022,otros,secuencial
gasolina,lima,16900.0,2013,camioneta,secuencial
gasolina,lima,21900.0,2018,camioneta,automatica
otro,lima,49900.0,2022,otros,secuencial
otro,lima,76991.0,2024,deportivo,automatica
otro,lima,19900.0,2021,otros,secuencial
otro,lima,29500.0,2023,camioneta,secuencial
otro,lima,48990.0,2022,camioneta,automatica
otro,lima,19900.0,2017,otros,automatica
gasolina,lima,35900.0,2021,camioneta,automatica
otro,lima,135000.0,2024,camioneta,secuencial
gasolina,lima,25900.0,2010,camioneta,secuencial
gasolina,lima,62900.0,2020,camioneta,secuencial
gasolina,lima,18900.0,2020,otros,secuencial
gasolina,lima,35500.0,2024,camioneta,secuencial
gasolina,lima,17700.0,2024,camioneta,automatica
gasolina,lima,60000.0,2022,camioneta,automatica
gasolina,provincia,13500.0,2011,camioneta,automatica
gasolina,lima,32500.0,2025,camioneta,secuencial
otro,lima,24500.0,2018,otros,mecanica
otro,provincia,56900.0,2024,camioneta,secuencial
gasolina,lima,34200.0,2021,camioneta,automatica
otro,lima,18900.0,2020,camioneta,secuencial
otro,lima,95900.0,2024,camioneta,automatica
gasolina,lima,31900.0,2022,camioneta,automatica
gasolina,lima,15990.0,2023,otros,automatica
gasolina,lima,39900.0,2020,camioneta,secuencial
otro,lima,92900.0,2023,camioneta,secuencial
gasolina,lima,98991.0,2024,camioneta,automatica
gasolina,lima,52900.0,2021,camioneta,automatica
otro,lima,18990.0,2024,camioneta,mecanica
gasolina,lima,16900.0,2015,otros,secuencial
gasolina,lima,12900.0,2023,camioneta,mecanica
gasolina,lima,22500.0,2025,camioneta,automatica
otro,lima,25000.0,2023,camioneta,secuencial
